year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Homna,BD201954,112686,100152,212838,10242,10686,10172,9347,9040,8415,8144,7384,7150,6482,6371,5018,4685,3491,2815,1622,1622,10436,11188,10397,9612,8461,6709,5783,5520,5275,4898,4807,4260,4176,3197,2604,1627,1202,20678,21874,20569,18959,17501,15124,13927,12904,12425,11380,11178,9278,8861,6688,5419,3249,2824
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Comilla Adarsha Sadar,BD201967,417387,414715,832102,32673,33038,36342,41496,40412,37490,34012,31538,27198,25645,20044,16146,12776,10827,7356,5367,5027,34298,34308,37657,41978,44095,36102,32111,29699,25988,23922,20280,17089,12787,10148,6541,4465,3247,66971,67346,73999,83474,84507,73592,66123,61237,53186,49567,40324,33235,25563,20975,13897,9832,8274
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Laksam,BD201972,133445,115578,249023,11649,12344,12870,12830,11823,10652,9358,8650,8137,7568,6530,5159,4728,3654,3007,2084,2402,11924,12524,12495,11731,9586,8324,7181,6334,6099,5655,5316,4623,4246,3240,2693,1786,1821,23573,24868,25365,24561,21409,18976,16539,14984,14236,13223,11846,9782,8974,6894,5700,3870,4223
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Manoharganj,BD201974,115228,91742,206970,10331,10981,11787,11486,9507,8708,7652,7356,6892,6563,5521,4702,4149,3078,2568,1833,2114,10700,11087,10842,9377,7330,5808,4750,4490,4215,4013,3828,3682,3299,2893,2259,1624,1545,21031,22068,22629,20863,16837,14516,12402,11846,11107,10576,9349,8384,7448,5971,4827,3457,3659
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Meghna,BD201975,64515,61279,125794,5558,5770,5419,4886,5240,5167,4701,4427,4118,3726,3789,3039,2594,2194,1788,1206,893,5779,5971,5619,5298,5609,4794,4288,4118,3527,3295,2966,2614,2329,1879,1434,1043,716,11337,11741,11038,10184,10849,9961,8989,8545,7645,7021,6755,5653,4923,4073,3222,2249,1609
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Muradnagar,BD201981,305257,257310,562567,28990,29309,29285,26349,24746,22972,20808,19956,19180,17723,16678,12905,11427,8751,6982,4807,4389,29373,29858,29187,25808,18785,16271,14317,13740,12961,12266,12255,10912,9983,8023,6190,4092,3289,58363,59167,58472,52157,43531,39243,35125,33696,32141,29989,28933,23817,21410,16774,13172,8899,7678
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Nangalkot,BD201987,235144,187171,422315,21221,22435,22905,21955,19805,18571,15822,14870,13930,13251,12145,9371,8742,6355,5402,3739,4625,21193,22540,21585,17998,13569,12126,10052,9572,8988,8491,8295,7318,7773,5988,5029,3159,3495,42414,44975,44490,39953,33374,30697,25874,24442,22918,21742,20440,16689,16515,12343,10431,6898,8120
2022,BGD,Bangladesh,BD,Chittagong,BD20,Comilla,BD2019,Titas,BD201994,115594,96499,212093,9879,10212,10194,9977,9597,9060,7898,7451,7158,6872,6699,5148,4958,3711,3049,1916,1815,10463,10385,10509,9831,8040,6013,5268,5039,4567,4392,4639,4221,4061,3247,2673,1736,1415,20342,20597,20703,19808,17637,15073,13166,12490,11725,11264,11338,9369,9019,6958,5722,3652,3230
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Chakaria,BD202216,298893,295247,594140,31730,32951,33550,29922,27017,25110,20611,18801,15266,15443,13588,10743,7822,5923,4567,2979,2870,32859,33805,33889,30381,27244,22844,20239,18412,14353,13619,11624,10551,8266,6457,5193,3105,2406,64589,66756,67439,60303,54261,47954,40850,37213,29619,29062,25212,21294,16088,12380,9760,6084,5276
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Cox's Bazar Sadar,BD202224,282391,310270,592661,30522,29019,30625,31382,28291,24908,20433,18092,14803,13995,11952,8545,7048,4535,3853,2175,2213,31875,29801,30591,34782,35321,29386,24581,20665,15772,13815,12069,9431,8089,5174,4444,2435,2039,62397,58820,61216,66164,63612,54294,45014,38757,30575,27810,24021,17976,15137,9709,8297,4610,4252
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Kutubdia,BD202245,70289,71035,141324,7419,8287,8040,6129,5256,5845,5360,4640,3838,3602,3501,2576,2147,1343,1232,521,553,7813,8928,8203,6977,5914,5076,4808,4559,3701,3107,3137,2446,2221,1619,1260,703,563,15232,17215,16243,13106,11170,10921,10168,9199,7539,6709,6638,5022,4368,2962,2492,1224,1116
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Maheshkhali,BD202249,192494,198869,391363,21700,21628,20640,18893,17643,15950,13699,11087,9751,9144,8875,6600,5727,4333,3129,1947,1748,23297,23163,21288,21428,20521,15938,13601,11831,9407,8082,7370,6138,5806,4461,3284,1864,1390,44997,44791,41928,40321,38164,31888,27300,22918,19158,17226,16245,12738,11533,8794,6413,3811,3138
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Pekua,BD202256,108596,106215,214811,12503,12937,12350,9535,9037,9066,7835,7106,5489,5108,4781,4026,3108,2342,1570,937,866,13134,13898,12533,10349,8804,7526,6836,6456,4974,4353,4069,3453,2921,2672,1949,1364,924,25637,26835,24883,19884,17841,16592,14671,13562,10463,9461,8850,7479,6029,5014,3519,2301,1790
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Ramu,BD202266,171871,171387,343258,20153,19018,18711,17314,15286,14025,11540,10493,9162,9017,8085,5800,4627,2957,2622,1585,1476,20766,19449,19065,18374,16270,13165,11259,10138,8192,7584,6903,5860,5057,3511,2724,1661,1409,40919,38467,37776,35688,31556,27190,22799,20631,17354,16601,14988,11660,9684,6468,5346,3246,2885
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Teknaf,BD202290,171025,170026,341051,22218,21275,18577,17495,16575,14662,11930,9672,8566,7717,6885,5013,3900,2478,1876,1125,1061,23596,21687,18501,18210,16141,13889,11339,9726,7435,6360,5758,5040,4479,2976,2332,1331,1226,45814,42962,37078,35705,32716,28551,23269,19398,16001,14077,12643,10053,8379,5454,4208,2456,2287
2022,BGD,Bangladesh,BD,Chittagong,BD20,Cox's Bazar,BD2022,Ukhia,BD202294,136209,135455,271664,16438,15710,15167,13499,12156,11952,9583,8216,7153,6698,5759,4179,3575,2376,1731,1062,955,16878,16137,15297,13955,12469,10470,9444,7754,6426,5853,5488,4290,3656,2869,2160,1268,1041,33316,31847,30464,27454,24625,22422,19027,15970,13579,12551,11247,8469,7231,5245,3891,2330,1996
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Chhagalnaiya,BD203014,105888,91018,196906,8255,7876,8706,10855,9119,8236,7357,6724,6929,6783,6195,4541,4490,3156,2727,1857,2082,8615,7960,9174,10253,8792,6716,5493,4804,4522,4435,4296,3953,3782,2893,2331,1566,1433,16870,15836,17880,21108,17911,14952,12850,11528,11451,11218,10491,8494,8272,6049,5058,3423,3515
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Daganbhuiyan,BD203025,151360,124679,276039,12080,11904,13515,15527,12900,12002,10710,10195,8869,9163,8338,6417,6093,4422,3857,2551,2817,12249,12135,13211,13758,10948,8549,7241,6965,6153,6074,5482,5225,4884,4298,3303,2318,1886,24329,24039,26726,29285,23848,20551,17951,17160,15022,15237,13820,11642,10977,8720,7160,4869,4703
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Feni Sadar,BD203029,326132,306946,633078,26185,25240,28909,34794,29276,26976,24731,22830,20169,19376,16920,13109,11578,8366,7434,4618,5621,27426,26268,30989,34811,31161,24544,20711,18737,16765,15304,13827,12577,11336,8767,6363,3879,3481,53611,51508,59898,69605,60437,51520,45442,41567,36934,34680,30747,25686,22914,17133,13797,8497,9102
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Fulgazi,BD203041,63590,59696,123286,4906,4882,5381,6396,5440,5015,4457,4049,3916,4060,3772,3004,2564,1922,1622,1038,1166,5287,4920,5384,6001,6139,4789,4244,3610,3305,2977,2894,2617,2435,2068,1366,871,789,10193,9802,10765,12397,11579,9804,8701,7659,7221,7037,6666,5621,4999,3990,2988,1909,1955
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Parshuram,BD203051,56525,47690,104215,4651,4635,4932,5368,4625,4248,3942,3706,3580,3423,3255,2611,2269,1800,1394,1064,1022,4709,4868,5045,5247,4077,3176,2731,2498,2383,2342,2418,2101,1944,1650,1096,742,663,9360,9503,9977,10615,8702,7424,6673,6204,5963,5765,5673,4712,4213,3450,2490,1806,1685
2022,BGD,Bangladesh,BD,Chittagong,BD20,Feni,BD2030,Sonagazi,BD203094,153472,127970,281442,12454,12727,13982,15201,13069,11911,10555,10214,9046,9301,8595,6797,6313,4587,3816,2174,2730,13150,13062,14277,14205,11485,8735,7221,6713,5822,5740,5582,5115,5126,4454,3280,2125,1878,25604,25789,28259,29406,24554,20646,17776,16927,14868,15041,14177,11912,11439,9041,7096,4299,4608
2022,BGD,Bangladesh,BD,Chittagong,BD20,Khagrachhari,BD2046,Dighinala,BD204643,55412,55275,110687,4728,5118,5242,4110,4146,4672,4366,4077,3475,3607,2638,2768,1810,1859,1158,1017,621,4894,5487,5368,4949,4051,4406,4168,4399,3421,3273,2505,2386,1766,1630,1151,844,577,9622,10605,10610,9059,8197,9078,8534,8476,6896,6880,5143,5154,3576,3489,2309,1861,1198
2022,BGD,Bangladesh,BD,Chittagong,BD20,Khagrachhari,BD2046,Khagrachhari Sadar,BD204649,64021,67217,131238,5300,5532,5620,6088,4980,5549,5496,5125,4150,4419,2938,2805,1792,1713,1042,825,647,5644,5741,6007,6222,5763,5583,5524,5583,4475,4402,3543,2973,1962,1547,1046,740,462,10944,11273,11627,12310,10743,11132,11020,10708,8625,8821,6481,5778,3754,3260,2088,1565,1109
